,Variablenname,Variable name,Variable,variable,Beschreibung,description
115,KR_SCHUEL_GRUND,KR_STR_TYP99,Schüler nach Schulart - Grundschulen,Street type - not speciﬁed,Anzahl Schüler an allgemeinbildenden Schulen nach Schulart - Grundschulen,"Number of households that are located on the street type ""not speciﬁed"""
116,KR_SCHUEL_HAUPT,KR_SCHOOL,Schüler nach Schulart - Hauptschulen,Students in general education schools,Anzahl Schüler an allgemeinbildenden Schulen nach Schulart - Hauptschulen,Number of pupils in general education schools
117,KR_SCHUEL_REAL,KR_SCHUEL_VOR,Schüler nach Schulart - Realschulen,Students by type of school - pre- school area,Anzahl Schüler an allgemeinbildenden Schulen nach Schulart - Realschulen,Number of pupils at general education schools by type of school - pre-school area
118,KR_SCHUEL_GYM,KR_SCHUEL_GRUND,Schüler nach Schulart - Gymnasien,Pupils by type of school - elementary schools,Anzahl Schüler an allgemeinbildenden Schulen nach Schulart - Gymnasien,Number of pupils in general education schools by type of school - primary schools
119,KR_SCHUEL_WALDORF,KR_SCHUEL_HAUPT,Schüler nach Schulart - Freie Waldorfschulen,Students by type of school - secondary schools,Anzahl Schüler an allgemeinbildenden Schulen nach Schulart - Freie Waldorfschulen,Number of pupils at general education schools by type of school - Hauptschulen
120,KR_SCHUEL_GESCHUL,KR_SCHUEL_REAL,Schüler nach Schulart - Integrierte Gesamtschulen,Students by type of school - Realschulen,Anzahl Schüler an allgemeinbildenden Schulen nach Schulart - Integrierte Gesamtschulen,Number of pupils at general education schools by type of school - Realschulen
121,KR_SCHUEL_ABEND,KR_SCHUEL_GYM,Schüler nach Schulart - Abendschulen und Kollegs,Students by type of school - grammar schools,Anzahl Schüler an allgemeinbildenden Schulen nach Schulart - Abendschulen und Kollegs,Number of pupils at general education schools by type of school - grammar schools
122,KR_SCHUEL_SONDER,KR_SCHUEL_WALDORF,Schüler nach Schulart - Sonderschulen / Förderschulen,Students by type of school - Free Waldorf Schools,Anzahl Schüler an allgemeinbildenden Schulen nach Schulart - Sonderschulen / Förderschulen,Number of pupils at general education schools by type of school - free Waldorf schools
123,KR_SCHUEL_ORIENT,KR_SCHUEL_GESCHUL,Schüler nach Schulart - Schulartunabhängige Orientierungsstufe,Schoolchildren by type of school - Integrated comprehensive schools,Anzahl Schüler an allgemeinbildenden Schulen nach Schulart - Schulartunabhängige Orientierungsstufe,Number of pupils at general education schools by type of school - integrated comprehensive schools
124,KR_SCHUEL_MULT,KR_SCHUEL_ABEND,Schüler nach Schulart - Schularten mit mehreren Bildungsgängen,School-type students - evening schools and colleges,Anzahl Schüler an allgemeinbildenden Schulen nach Schulart - Schularten mit mehreren Bildungsgängen,Number of pupils at general education schools by type of school - evening schools and colleges
125,KR_SCHUELER,KR_SCHUEL_SONDER,Schüler,Schoolchildren by type of school - special schools / special needs schools,Anzahl Schüler am Wohnort,Number of pupils at general education schools by type of school - special schools / special schools
126,KR_STUDENT,KR_SCHUEL_ORIENT,Studenten,Schoolchildren by type of school - Orientation level,Anzahl Studenten am Wohnort,Number of pupils at general education schools
127,KR_AZUBI,,Auszubildende,independent of school type,Anzahl Auszubildende am Wohnort,"by type of school - orientation level independent of
school type"
128,KR_SCHUL_KEIN,KR_SCHUEL_MULT,Personen nach Schulabschluss - ohne oder noch kein Schulabschluss,Pupils by type of school - types of schools with several courses of study,Anzahl Personen ab 15 Jahren nach höchstem schulischen Abschluss - ohne oder noch kein Schulabschluss,Number of pupils at general education schools by type of school - types of schools with several courses of education
129,KR_SCHUL_HAUPT,KR_SCHUELER,Personen nach Schulabschluss - Haupt-/ Volksschulabschluss,student,Anzahl Personen ab 15 Jahren nach höchstem schulischen Abschluss - Haupt-/ Volksschulabschluss,Number of students at the place of residence
130,KR_SCHUL_MITTL,KR_STUDENT,"Personen nach Schulabschluss - Gymnasiale Oberstufe, Realschulabschluss",students,"Anzahl Personen ab 15 Jahren nach höchstem schulischen Abschluss - Gymnasiale Oberstufe, Realschulabschluss",Number of students at the place of residence
131,KR_SCHUL_HOCH,KR_AZUBI,"Personen nach Schulabschluss - Fachhochschulreife, allgemeine Hochschulreife (Abitur)",trainee,"Anzahl Personen ab 15 Jahren nach höchstem schulischen Abschluss - Fachhochschulreife, allgemeine Hochschulreife (Abitur)",Number of trainees at the place of residence
132,KR_BERUF_KEIN,KR_SCHUL_KEIN,Personen nach Berufsabschluss - ohne oder noch kein beruflicher Abschluss,People after leaving school - with no or no school leaving certiﬁcate,Anzahl Personen ab 15 Jahren nach höchstem beruflichen Abschluss - ohne oder noch kein beruflicher Abschluss,Number of people aged 15 and over after the highest school leaving certiﬁcate - with no or no school leaving certiﬁcate
133,KR_BERUF_LEHRE,KR_SCHUL_MAIN,"Personen nach Berufsabschluss - Lehre, Berufsausbildung im dualen System",Persons after school leaving certiﬁcate - secondary school / elementary school certiﬁcate,"Anzahl Personen ab 15 Jahren nach höchstem beruflichen Abschluss - Lehre, Berufsausbildung im dualen System",Number of people aged 15 and over after the highest school leaving certiﬁcate - secondary school / elementary school certiﬁcate
134,KR_BERUF_FACHSCHUL,KR_SCHUL_MITTL,"Personen nach Berufsabschluss - Fachschule, Fachakademie, Berufsakademie","Persons after school leaving certiﬁcate - upper secondary school, secondary school leaving certiﬁcate","Anzahl Personen ab 15 Jahren nach höchstem beruflichen Abschluss - Fachschule, Fachakademie, Berufsakademie","Number of people aged 15 and over after the highest school qualiﬁcation
- upper secondary school, secondary
school qualiﬁcation"
135,KR_BERUF_HOCHSCHUL,KR_SCHUL_HOCH,"Personen nach Berufsabschluss - Fachhochschulabschluss, Hochschulabschluss","Persons after school leaving certiﬁcate - advanced technical college entrance qualiﬁcation, general university entrance qualiﬁcation (Abitur)","Anzahl Personen ab 15 Jahren nach höchstem beruflichen Abschluss - Fachhochschulabschluss, Hochschulabschluss","Number of people aged 15 and over after the highest school qualiﬁcation
- technical college entrance qualiﬁcation, general university entrance qualiﬁcation
(Abitur)"
136,KR_BERUF_PROM,KR_BERUF_KEIN,Personen nach Berufsabschluss - Promotion,People with a professional qualiﬁcation - with no or no professional qualiﬁcation,Anzahl Personen ab 15 Jahren nach höchstem beruflichen Abschluss - Promotion,Number of people aged 15 and over with the highest professional qualiﬁcation - with no or no professional qualiﬁcation
137,KR_TG_PERS,KR_BERUF_LEHRE,Personal in Kindertageseinrichtungen,"Persons after professional qualiﬁcation - apprenticeship, vocational training in the dual system",Personal in Kindertageseinrichtungen,"Number of people aged 15 and over after the highest professional qualiﬁcation - apprenticeship, professional training in the dual system"
138,KR_TG_PPERS,KR_BERUF_FACHSCHUL,Pädagogisches Personal in Kindertageseinrichtungen,"Persons by vocational qualiﬁcation - technical school, technical academy, professional academy",Pädagogisches Personal in Kindertageseinrichtungen,"Number of people aged 15 and over after the highest professional qualiﬁcation - technical school, technical academy, professional academy"
139,KR_TG_KIND,KR_BERUF_HOCHSCHUL,Kinder in Tageseinrichtungen,"Persons by professional qualiﬁcation - technical college degree, university degree",Anzahl betreute Kinder in Tageseinrichtungen,"Number of people aged 15 and over after the highest professional qualiﬁcation - technical college degree, university degree"
140,KR_TG_QU_KK,KR_BERUF_PROM,Betreuungsquote Kleinkinder,People after a,Anteil der Kinder unter 3 Jahren in Kindertageseinrichtungen an den Kinder der entsprechenden Altersgruppe,Number of people
141,KR_TG_QU_VK,,Betreuungsquote Vorschulkinder,professional qualiﬁcation - doctorate,Anteil der Kinder von 3 bis unter 6 Jahren in Kindertageseinrichtungen an den Kinder der entsprechenden Altersgruppe,"aged 15 and over after the highest professional qualiﬁcation -
doctorate"
142,KR_TG_QU_GKK,KR_TG_PERS,Ganztags-Betreuungsquote Kleinkinder,Personnel in day- care centers,Anteil der Kinder unter 3 Jahren in Kindertageseinrichtungen mit einer Betreuungszeit von 7 und mehr Stunden pro Tag an den Kinder der entsprechenden,Personnel in day- care centers
143,KR_TG_QU_GVK,KR_TG_PPERS,Ganztags-Betreuungsquote Vorschulkinder,Pedagogical staff in day-care centers,Anteil der Kinder von 3 bis unter 6 Jahren in Kindertageseinrichtungen mit einer Betreuungszeit von 7 und mehr Stunden pro Tag an den Kinder der,Pedagogical staff in day-care centers
144,KR_GEN_MD,KR_TG_KIND,Corona-Genesene,Children in day care centers,Schätzung der Corona-Genesenen (nach Meldedatum),Number of children cared for in day care facilities
145,KR_GEN_MD_KUM,KR_TG_QU_KK,Corona-Genesene kumuliert,Childcare rate for toddlers,Corona-Genesene kumuliert (nach Meldedatum),Proportion of children under 3 years in day-care facilities in relation to the children in the corresponding age group
146,BL_IMPF,KR_TG_QU_VK,Verabreichte Corona-Impfdosen,Childcare rate for preschoolers,Gesamtzahl verabreichter Impfstoffdosen kumuliert,Proportion of children from 3 to under 6 years in day-care facilities in relation to the children in the corresponding age group
147,BL_ERSTIMPF,KR_TG_QU_GKK,Corona-Erstimpfungen,All-day care rate for small children,Anzahl Corona-Erstimpfungen kumuliert,Proportion of children under 3 years in day-care centers with a care time of 7 or more hours per day to the children of the corresponding
148,BL_ERSTIMPF_HS_BT,KR_TG_QU_GVK,Corona-Erstimpfungen BioNTech,All-day care quota for preschool children,Anzahl Corona-Erstimpfungen kumuliert des Herstellers BioNTech,Proportion of children from 3 to under 6 years in day-care facilities with a care time of 7 or more hours per day for the children of
149,BL_ERSTIMPF_HS_MN,KR_GEN_MD,Corona-Erstimpfungen Moderna,Corona recovered,Anzahl Corona-Erstimpfungen kumuliert des Herstellers Moderna,Estimate of those who have recovered from the corona (according to reporting date)
150,BL_ERSTIMPF_HS_AZ,KR_GEN_MD_KUM,Corona-Erstimpfungen AstraZeneca,Corona recoveries accumulated,Anzahl Corona-Erstimpfungen kumuliert des Herstellers AstraZeneca,Corona recovered cumulative (according to reporting date)
151,BL_ERSTIMPF_IND_ALTER,BL_IMPF,Corona-Erstimpfungen nach Indikation Alter,Corona vaccination doses administered,Corona-Erstimpfungen kumuliert nach Indikation Alter,Cumulative total number of vaccine doses administered
152,BL_ERSTIMPF_IND_BRFL,BL_ERSTIMPF,Corona-Erstimpfungen nach beruflicher Indikation,Corona ﬁrst vaccinations,Corona-Erstimpfungen kumuliert nach beruflicher indikation,Cumulative number of corona ﬁrst vaccinations
153,BL_ERSTIMPF_IND_MDZN,BL_ERSTIMPF_HS_BT,Corona-Erstimpfungen nach medizinischer Indikation,Corona ﬁrst vaccinations BioNTech,Corona-Erstimpfungen kumuliert nach medizinischer Indikation,Cumulative number of corona ﬁrst vaccinations from the manufacturer BioNTech
154,BL_ERSTIMPF_IND_PHBW,BL_ERSTIMPF_HS_MN,Corona-Erstimpfungen nach Indikation Pflegeheimbewohner,Corona ﬁrst vaccinations Moderna,Corona-Erstimpfungen kumuliert nach Indikation Plegeheimbewohner,Cumulative number of corona ﬁrst vaccinations from the manufacturer Moderna
155,BL_ERSTIMPF_VT,BL_ERSTIMPF_HS_AZ,Corona-Erstimpfungen zum Vortag,Corona ﬁrst vaccinations AstraZeneca,Differenz der Corona-Erstimpfungen zum Vortag,Cumulative number of corona ﬁrst vaccinations from the manufacturer AstraZeneca
156,BL_ERSTIMPF_QUOTE,BL_ERSTIMPF_IND_ALTER,Impfquote Corona-Erstimpfungen,Corona initial vaccinations according to age indication,Anteil Corona-Geimpfte (Erstimpfungen) an Gesamtbevölkerung (Einwohner Stand 31.12.2019),Corona initial vaccinations accumulated according to age indication
157,BL_ERSTIMPF_U60_QUOTE,BL_ERSTIMPF_IND_BRFL,Impfquote Corona-Erstimpfungen - unter 60 Jährige,Corona ﬁrst vaccinations according to,Anteil Corona-Geimpfte (Erstimpfungen) unter 60 Jahre an Bevölkerung der entsprechenden Altersklasse (Einwohner Stand 31.12.2019),Corona ﬁrst vaccinations accumulated
158,BL_ERSTIMPF_AB60_QUOTE,,Impfquote Corona-Erstimpfungen - über 60 Jährige,occupational indication,Anteil Corona-Geimpfte (Erstimpfungen) 60 Jahre oder älter an Bevölkerung der entsprechenden Altersklasse (Einwohner Stand 31.12.2019),"according to occupational
indication"
159,BL_ZWEITIMPF,BL_ERSTIMPF_IND_MDZN,Corona-Zweitimpfungen,Corona ﬁrst vaccinations according to medical indication,Anzahl Corona-Zweitimpfungen kumuliert,Corona initial vaccinations accumulated according to medical indication
160,BL_ZWEITIMPF_HS_BT,BL_ERSTIMPF_IND_PHBW,Corona-Zweitimpfungen BioNTech,Corona initial vaccinations as indicated by nursing home residents,Anzahl Corona-Zweitimpfungen kumuliert des Herstellers BioNTech,Corona initial vaccinations accumulated according to the indication for care home residents
161,BL_ZWEITIMPF_HS_MN,BL_ERSTIMPF_VT,Corona-Zweitimpfungen Moderna,Corona ﬁrst vaccinations on the previous day,Anzahl Corona-Zweitimpfungen kumuliert des Herstellers Moderna,Difference between the corona initial vaccinations and the previous day
162,BL_ZWEITIMPF_HS_AZ,BL_ERSTIMPF_QUOTE,Corona-Zweitimpfungen AstraZeneca,Corona vaccination rate for ﬁrst-time vaccinations,Anzahl Corona-Zweitimpfungen kumuliert des Herstellers AstraZeneca,"Proportion of corona vaccinated persons (ﬁrst vaccinations) in the total population (residents as of December 31,
2019)"
163,BL_ZWEITIMPF_HS_JJ,BL_ERSTIMPF_U60_QUOTE,Corona-Impfungen Johnson & Johnson,Corona vaccination rate - under 60 year olds,Anzahl Corona-Impfungen kumuliert des Herstellers Johnson und Johnson (wird als Zweitimpfung betrachtet),"Proportion of people vaccinated with corona (ﬁrst vaccinations) under 60 years of age in the population of the corresponding age group (residents as of December 31,
2019)"
164,BL_ZWEITIMPF_IND_ALTER,BL_ERSTIMPF_AB60_QUOTE,Corona-Zweitimpfungen nach Indikation Alter,Vaccination rate Corona ﬁrst vaccinations - over 60 year olds,Corona-Zweitimpfungen kumuliert nach Indikation Alter,"Proportion of corona vaccinated persons (ﬁrst vaccinations) 60 years or older in the population of the corresponding age group (residents as of December 31,
2019)"
165,BL_ZWEITIMPF_IND_BRFL,BL_ZWEITIMPF,Corona-Zweitimpfungen nach beruflicher Indikation,Corona second vaccinations,Corona-Zweitimpfungen kumuliert nach beruflicher indikation,Cumulative number of corona second vaccinations
166,BL_ZWEITIMPF_IND_MDZN,BL_ZWEITIMPF_HS_BT,Corona-Zweitimpfungen nach medizinischer Indikation,Corona second vaccinations BioNTech,Corona-Zweitimpfungen kumuliert nach medizinischer Indikation,Cumulative number of second corona vaccinations from the manufacturer BioNTech
167,BL_ZWEITIMPF_IND_PHBW,BL_ZWEITIMPF_HS_MN,Corona-Zweitimpfungen nach Indikation Pflegeheimbewohner,Corona second vaccinations Moderna,Corona-Zweitimpfungen kumuliert nach Indikation Plegeheimbewohner,Cumulative number of corona second vaccinations from the manufacturer Moderna
168,BL_ZWEITIMPF_VT,BL_ZWEITIMPF_HS_AZ,Corona-Zweitimpfungen zum Vortag,Corona second vaccinations AstraZeneca,Differenz der Corona-Zweitimpfungen zum Vortag,Cumulative number of corona second vaccinations from the manufacturer AstraZeneca
169,BL_ZWEITIMPF_QUOTE,BL_ZWEITIMPF_HS_JJ,Impfquote Corona-Zweitimpfungen,Corona vaccinations Johnson & Johnson,Anteil vollständig Corona-Geimpfte (Zweitimpfungen) an Gesamtbevölkerung (Einwohner Stand 31.12.2019),Cumulative number of corona vaccinations of the manufacturer Johnson and Johnson (considered as a second vaccination)
170,BL_ZWEITIMPF_U60_QUOTE,BL_ZWEITIMPF_IND_ALTER,Impfquote Corona-Zweitimpfungen - unter 60 Jährige,Corona second vaccinations according to age indication,Anteil vollständig Corona-Geimpfte (Zweitimpfungen) unter 60 Jahre an Bevölkerung der entsprechenden Altersklasse (Einwohner Stand 31.12.2019),Corona second vaccinations accumulated according to age indication
171,BL_ZWEITIMPF_AB60_QUOTE,BL_ZWEITIMPF_IND_BRFL,Impfquote Corona-Zweitimpfungen - über 60 Jährige,Corona second vaccinations according to occupational indication,Anteil vollständig Corona-Geimpfte (Zweitimpfungen) 60 Jahre oder älter an Bevölkerung der entsprechenden Altersklasse (Einwohner Stand 31.12.2019),Corona second vaccinations accumulated according to
172,KR_INF_MD,,Bestätigte Corona-Fälle nach Meldedatum,,Bestätigte Corona-Fälle nach Meldedatum,"occupational
indication"
173,KR_INF_RD,BL_ZWEITIMPF_IND_MDZN,Bestätigte Corona-Fälle nach Referenzdatum,Corona second vaccinations according to medical indication,Bestätigte Corona-Fälle nach Referenzdatum,Corona second vaccinations accumulated according to medical indication
174,KR_INF_A0004,BL_ZWEITIMPF_IND_PHBW,Bestätigte Corona-Fälle - bis 4 Jahre,Corona second vaccinations as indicated by nursing home residents,Bestätigte Corona-Fälle mit Alter bis 4 Jahre (nach Meldedatum),Corona second vaccinations accumulated according to the indication for care home residents
175,KR_INF_A0514,BL_ZWEITIMPF_VT,Bestätigte Corona-Fälle - 5 bis 14 Jahre,Corona second vaccinations on the previous day,Bestätigte Corona-Fälle mit Alter 5 bis 14 Jahre (nach Meldedatum),Difference in the corona second vaccinations to the previous day
176,KR_INF_A1534,BL_ZWEITIMPF_QUOTE,Bestätigte Corona-Fälle - 15 bis 34 Jahre,Vaccination rate Corona second vaccinations,Bestätigte Corona-Fälle mit Alter 15 bis 34 Jahre (nach Meldedatum),"Proportion of fully corona vaccinated persons (second vaccinations) in the total population (residents as of December 31,
2019)"
177,KR_INF_A3559,BL_ZWEITIMPF_U60_QUOTE,Bestätigte Corona-Fälle - 35 bis 59 Jahre,Vaccination rate Corona second vaccinations - under 60 year olds,Bestätigte Corona-Fälle mit Alter 35 bis 59 Jahre (nach Meldedatum),"Proportion of fully corona vaccinated (second vaccinations) under 60 years of the population of the corresponding age group (residents as of December 31,
2019)"
178,KR_INF_A6079,BL_ZWEITIMPF_AB60_QUOTE,Bestätigte Corona-Fälle - 60 bis 79 Jahre,Vaccination rate Corona second vaccinations - over 60 year olds,Bestätigte Corona-Fälle mit Alter 60 bis 79 Jahre (nach Meldedatum),"Proportion of completely corona vaccinated (second vaccinations) 60 years or older in the population of the corresponding age group (residents as of December 31,
2019)"
179,KR_INF_A80,KR_INF_MD,Bestätigte Corona-Fälle - 80 Jahre oder älter,Conﬁrmed corona cases by reporting date,Bestätigte Corona-Fälle mit Alter 80 Jahre oder älter (nach Meldedatum),Conﬁrmed corona cases by reporting date
180,KR_INF_A99,KR_INF_RD,Bestätigte Corona-Fälle - Alter unbekannt,Conﬁrmed corona cases by reference date,Bestätigte Corona-Fälle mit Alter unbekannt (nach Meldedatum),Conﬁrmed corona cases by reference date
181,KR_INF_M,KR_INF_A0004,Bestätigte männliche Corona-Fälle,Conﬁrmed corona cases - up to 4 years,Bestätigte männliche Corona-Fälle (nach Meldedatum),Conﬁrmed corona cases with age up to 4 years (according to reporting date)
182,KR_INF_W,KR_INF_A0514,Bestätigte weibliche Corona-Fälle,Conﬁrmed Corona Cases - 5 to 14 Years,Bestätigte weibliche Corona-Fälle (nach Meldedatum),Conﬁrmed corona cases aged 5 to 14 years (according to reporting date)
183,KR_INF_U,KR_INF_A1534,Bestätigte Corona-Fälle mit Geschlecht unbekannt,Conﬁrmed Corona Cases - 15 to 34 years old,Bestätigte Corona-Fälle mit Geschlecht unbekannt (nach Meldedatum),Conﬁrmed corona cases aged 15 to 34 years (according to reporting date)
184,KR_INF_M_A0004,KR_INF_A3559,Bestätigte männliche Corona-Fälle - bis 4 Jahre,Conﬁrmed Corona Cases - 35 to 59 years old,Bestätigte männliche Corona-Fälle mit Alter bis 4 Jahre (nach Meldedatum),Conﬁrmed corona cases aged 35 to 59 years (according to reporting date)
185,KR_INF_M_A0514,KR_INF_A6079,Bestätigte männliche Corona-Fälle - 5 bis 14 Jahre,Conﬁrmed Corona Cases - 60 to 79 Years,Bestätigte männliche Corona-Fälle mit Alter 5 bis 14 Jahre (nach Meldedatum),Conﬁrmed corona cases aged 60 to 79 years (according to reporting date)
186,KR_INF_M_A1534,KR_INF_A80,Bestätigte männliche Corona-Fälle - 15 bis 34 Jahre,Conﬁrmed Corona Cases - 80 years of age or older,Bestätigte männliche Corona-Fälle mit Alter 15 bis 34 Jahre (nach Meldedatum),Conﬁrmed corona cases with the age of 80 years or older (according to reporting date)
187,KR_INF_M_A3559,KR_INF_A99,Bestätigte männliche Corona-Fälle - 35 bis 59 Jahre,Conﬁrmed corona cases - age unknown,Bestätigte männliche Corona-Fälle mit Alter 35 bis 59 Jahre (nach Meldedatum),Conﬁrmed corona cases with age unknown (according to reporting date)
188,KR_INF_M_A6079,KR_INF_M,Bestätigte männliche Corona-Fälle - 60 bis 79 Jahre,Conﬁrmed male corona cases,Bestätigte männliche Corona-Fälle mit Alter 60 bis 79 Jahre (nach Meldedatum),Conﬁrmed male corona cases (by reporting date)
189,KR_INF_M_A80,KR_INF_W,Bestätigte männliche Corona-Fälle - 80 Jahre oder älter,Conﬁrmed female corona cases,Bestätigte männliche Corona-Fälle mit Alter 80 Jahre oder älter (nach Meldedatum),Conﬁrmed female corona cases
190,KR_INF_M_A99,,Bestätigte männliche Corona-Fälle - unbekannt,,Bestätigte männliche Corona-Fälle mit Alter unbekannt (nach Meldedatum),"(according to
reporting date)"
191,KR_INF_W_A0004,KR_INF_U,Bestätigte weibliche Corona-Fälle - bis 4 Jahre,Conﬁrmed corona cases with gender unknown,Bestätigte weibliche Corona-Fälle mit Alter bis 4 Jahre (nach Meldedatum),Conﬁrmed corona cases with gender unknown (according to reporting date)
192,KR_INF_W_A0514,KR_INF_M_A0004,Bestätigte weibliche Corona-Fälle - 5 bis 14 Jahre,Conﬁrmed male corona cases - up to 4 years,Bestätigte weibliche Corona-Fälle mit Alter 5 bis 14 Jahre (nach Meldedatum),Conﬁrmed male corona cases up to 4 years of age (according to reporting date)
193,KR_INF_W_A1534,KR_INF_M_A0514,Bestätigte weibliche Corona-Fälle - 15 bis 34 Jahre,Conﬁrmed Male Corona Cases - 5 to 14 Years Old,Bestätigte weibliche Corona-Fälle mit Alter 15 bis 34 Jahre (nach Meldedatum),Conﬁrmed male corona cases aged 5 to 14 years (according to reporting date)
194,KR_INF_W_A3559,KR_INF_M_A1534,Bestätigte weibliche Corona-Fälle - 35 bis 59 Jahre,Conﬁrmed Male Corona Cases - 15 to 34 Years Old,Bestätigte weibliche Corona-Fälle mit Alter 35 bis 59 Jahre (nach Meldedatum),Conﬁrmed male corona cases aged 15 to 34 years (according to reporting date)
195,KR_INF_W_A6079,KR_INF_M_A3559,Bestätigte weibliche Corona-Fälle - 60 bis 79 Jahre,Conﬁrmed Male Corona Cases - 35 to 59 Years Old,Bestätigte weibliche Corona-Fälle mit Alter 60 bis 79 Jahre (nach Meldedatum),Conﬁrmed male corona cases aged 35 to 59 years (according to reporting date)
196,KR_INF_W_A80,KR_INF_M_A6079,Bestätigte weibliche Corona-Fälle - 80 Jahre oder älter,Conﬁrmed Male Corona Cases - 60 to 79 Years,Bestätigte weibliche Corona-Fälle mit Alter 80 Jahre oder älter (nach Meldedatum),Conﬁrmed male corona cases aged 60 to 79 years (according to reporting date)
197,KR_INF_W_A99,KR_INF_M_A80,Bestätigte weibliche Corona-Fälle - Alter unbekannt,Conﬁrmed Male Corona Cases - 80 Years or Older,Bestätigte weibliche Corona-Fälle mit Alter unbekannt (nach Meldedatum),Conﬁrmed male corona cases aged 80 years or older (according to reporting date)
198,KR_INF_MD_KUM,KR_INF_M_A99,Bestätigte Corona-Fälle kumuliert,Conﬁrmed male corona cases - unknown,Bestätigte Corona-Fälle kumuliert (nach Meldedatum),Conﬁrmed male corona cases with age unknown (according to reporting date)
199,KR_INF_AKTIV,KR_INF_W_A0004,Aktive Corona-Fälle,Conﬁrmed female corona cases - up to 4 years,Bestätigte Corona-fälle kumuliert abzgl. Corona-Todesfälle kumuliert abzgl. Corona-Genesene kumiliert (nach Meldedatum),Conﬁrmed female corona cases up to 4 years of age (according to reporting date)
200,KR_INZ,KR_INF_W_A0514,7-Tage-Fallzahl,Conﬁrmed Female Corona Cases - 5 to 14 Years Old,Bestätigte Corona-Fälle der letzten 7 Tage (nach Meldedatum),Conﬁrmed female corona cases aged 5 to 14 years (according to reporting date)
201,KR_INZ_RATE,KR_INF_W_A1534,7-Tage-Inzidenz,Conﬁrmed Female Corona Cases - 15 to 34 Years Old,Bestätigte Corona-Fälle der letzten 7 Tage pro 100.000 Einwohner (nach Meldedatum),Conﬁrmed female corona cases aged 15 to 34 years (according to reporting date)
202,KR_BETR_RATE,KR_INF_W_A3559,Betroffenenrate,Conﬁrmed Female Corona Cases - 35 to 59 Years Old,Anteil kumulierte Corona-Fälle an Einwohnern (nach Meldedtum),Conﬁrmed female corona cases aged 35 to 59 years (according to reporting date)
203,KR_NEUINF_RATE,KR_INF_W_A6079,Neuinfektionsrate ,Conﬁrmed female corona cases - 60 to 79 years old,Anteil Corona-Neuinfektionen an kumulierten Corona-Fällen (nach Meldedatum),Conﬁrmed female corona cases aged 60 to 79 years (according to reporting date)
204,KR_ITS_KH,KR_INF_W_A80,Krankenhäuser mit ITS-Kapazitäten,Conﬁrmed female corona cases - 80 years of age or older,Meldende Krankenhäuser mit intensivmedizinischer Versorgung (der letzten 7 Tage),Conﬁrmed female corona cases aged 80 years or older (according to reporting date)
205,KR_ITS_MELDEB,KR_INF_W_A99,Meldebereiche mit ITS-Kapazitäten,Conﬁrmed female corona cases - age unknown,Meldende Standorte von Krankenhäuser mit intensivmedizinischet Versorgung (der letzten 7 Tage),Conﬁrmed female corona cases with age unknown (according to reporting date)
206,KR_ITS_BETT_B,KR_INF_MD_KUM,Belegte ITS-Betten,Conﬁrmed corona cases cumulative,Anzahl belegte Intensivbetten (der letzten 7 Tage),Conﬁrmed corona cases cumulative (according to reporting date)
207,KR_ITS_BETT_F,KR_INF_AKTIV,Freie ITS-Betten,Active corona cases,Anzahl freie Intensivbetten (der letzten 7 Tage),Conﬁrmed corona cases accumulated less corona deaths accumulated minus corona recoveries accumulated
208,KR_ITS_BETT,,ITS-Betten,,Anzahl Intensivbetten insgesamt (der letzten 7 Tage),"(according to
reporting date)"
209,KR_ITS_BETT_EW,KR_INZ,ITS-Betten pro 100.000 Einwohner,7-day case number,Anzahl Intensivbetten pro 100.000 Einwohner (der letzten 7 Tage),Conﬁrmed corona cases of the last 7 days (according to reporting date)
210,KR_ITS_INF,KR_INZ_RATE,COVID-19-Patienten auf ITS,7 day incidence,Anzahl COVID-19-Patienten in intensivmedizinischer Behandlung (der letzten 7 Tage),"Conﬁrmed corona cases in the last 7 days per 100,000 inhabitants (according to reporting date)"
211,KR_ITS_INF_B,KR_BETR_RATE,Anzahl COVID-19-Patienten in Beatmung,Affected Rate,Anzahl COVID-19-Patienten invasis beatmet (der letzten 7 Tage),Share of cumulative corona cases in residents (according to Meldedtum)
212,KR_ITS_INF_B_ANT,KR_NEUINF_RATE,Anteil COVID-19-Patienten in Beatmung,New infection rate,Anteil COVID-19-Patienten in Beatmung an allen aktuell intensivmedizinisch behandelten COVID-19-Patienten (der letzten 7 Tage),Percentage of new corona infections in cumulative corona cases (according to reporting date)
213,KR_TOD_MD,KR_ITS_KH,Corona-Todesfälle,Hospitals with ITS capacities,Corona-Todesfälle (nach Meldedatum),Reporting hospitals with intensive medical care (of the last 7 days)
214,KR_TOD_A0004,KR_ITS_MELDEB,Corona-Todesfälle - bis 4 Jahre,Reporting areas with ITS capacities,Corona-Todesfälle mit Alter bis 4 Jahre (nach Meldedatum),Reporting locations of hospitals with intensive medical care (of the last 7 days)
215,KR_TOD_A0514,KR_ITS_BETT_B,Corona-Todesfälle - 5 bis 14 Jahre,Occupied ITS beds,Corona-Todesfälle mit Alter 5 bis 14 Jahre (nach Meldedatum),Number of occupied intensive care beds (of the last 7 days)
216,KR_TOD_A1534,KR_ITS_BETT_F,Corona-Todesfälle - 15 bis 34 Jahre,Free ITS beds,Corona-Todesfälle mit Alter 15 bis 34 Jahre (nach Meldedatum),Number of free intensive care beds (of the last 7 days)
