German_Variable,Variable name,Translation,Beschreibung,description
KR_TG_QU_VK,,professional qualiﬁcation - doctorate,Anteil der Kinder von 3 bis unter 6 Jahren in Kindertageseinrichtungen an den Kinder der entsprechenden Altersgruppe,"aged 15 and over after the highest professional qualiﬁcation -
doctorate"
KR_TG_QU_GKK,KR_TG_PERS,Personnel in day- care centers,Anteil der Kinder unter 3 Jahren in Kindertageseinrichtungen mit einer Betreuungszeit von 7 und mehr Stunden pro Tag an den Kinder der entsprechenden,Personnel in day- care centers
KR_TG_QU_GVK,KR_TG_PPERS,Pedagogical staff in day-care centers,Anteil der Kinder von 3 bis unter 6 Jahren in Kindertageseinrichtungen mit einer Betreuungszeit von 7 und mehr Stunden pro Tag an den Kinder der,Pedagogical staff in day-care centers
KR_GEN_MD,KR_TG_KIND,Children in day care centers,Schätzung der Corona-Genesenen (nach Meldedatum),Number of children cared for in day care facilities
KR_GEN_MD_KUM,KR_TG_QU_KK,Childcare rate for toddlers,Corona-Genesene kumuliert (nach Meldedatum),Proportion of children under 3 years in day-care facilities in relation to the children in the corresponding age group
BL_IMPF,KR_TG_QU_VK,Childcare rate for preschoolers,Gesamtzahl verabreichter Impfstoffdosen kumuliert,Proportion of children from 3 to under 6 years in day-care facilities in relation to the children in the corresponding age group
BL_ERSTIMPF,KR_TG_QU_GKK,All-day care rate for small children,Anzahl Corona-Erstimpfungen kumuliert,Proportion of children under 3 years in day-care centers with a care time of 7 or more hours per day to the children of the corresponding
BL_ERSTIMPF_HS_BT,KR_TG_QU_GVK,All-day care quota for preschool children,Anzahl Corona-Erstimpfungen kumuliert des Herstellers BioNTech,Proportion of children from 3 to under 6 years in day-care facilities with a care time of 7 or more hours per day for the children of
BL_ERSTIMPF_HS_MN,KR_GEN_MD,Corona recovered,Anzahl Corona-Erstimpfungen kumuliert des Herstellers Moderna,Estimate of those who have recovered from the corona (according to reporting date)
BL_ERSTIMPF_HS_AZ,KR_GEN_MD_KUM,Corona recoveries accumulated,Anzahl Corona-Erstimpfungen kumuliert des Herstellers AstraZeneca,Corona recovered cumulative (according to reporting date)
BL_ERSTIMPF_IND_ALTER,BL_IMPF,Corona vaccination doses administered,Corona-Erstimpfungen kumuliert nach Indikation Alter,Cumulative total number of vaccine doses administered
BL_ERSTIMPF_IND_BRFL,BL_ERSTIMPF,Corona ﬁrst vaccinations,Corona-Erstimpfungen kumuliert nach beruflicher indikation,Cumulative number of corona ﬁrst vaccinations
BL_ERSTIMPF_IND_MDZN,BL_ERSTIMPF_HS_BT,Corona ﬁrst vaccinations BioNTech,Corona-Erstimpfungen kumuliert nach medizinischer Indikation,Cumulative number of corona ﬁrst vaccinations from the manufacturer BioNTech
BL_ERSTIMPF_IND_PHBW,BL_ERSTIMPF_HS_MN,Corona ﬁrst vaccinations Moderna,Corona-Erstimpfungen kumuliert nach Indikation Plegeheimbewohner,Cumulative number of corona ﬁrst vaccinations from the manufacturer Moderna
BL_ERSTIMPF_VT,BL_ERSTIMPF_HS_AZ,Corona ﬁrst vaccinations AstraZeneca,Differenz der Corona-Erstimpfungen zum Vortag,Cumulative number of corona ﬁrst vaccinations from the manufacturer AstraZeneca
BL_ERSTIMPF_QUOTE,BL_ERSTIMPF_IND_ALTER,Corona initial vaccinations according to age indication,Anteil Corona-Geimpfte (Erstimpfungen) an Gesamtbevölkerung (Einwohner Stand 31.12.2019),Corona initial vaccinations accumulated according to age indication
BL_ERSTIMPF_U60_QUOTE,BL_ERSTIMPF_IND_BRFL,Corona ﬁrst vaccinations according to,Anteil Corona-Geimpfte (Erstimpfungen) unter 60 Jahre an Bevölkerung der entsprechenden Altersklasse (Einwohner Stand 31.12.2019),Corona ﬁrst vaccinations accumulated
BL_ERSTIMPF_AB60_QUOTE,,occupational indication,Anteil Corona-Geimpfte (Erstimpfungen) 60 Jahre oder älter an Bevölkerung der entsprechenden Altersklasse (Einwohner Stand 31.12.2019),"according to occupational
indication"
BL_ZWEITIMPF,BL_ERSTIMPF_IND_MDZN,Corona ﬁrst vaccinations according to medical indication,Anzahl Corona-Zweitimpfungen kumuliert,Corona initial vaccinations accumulated according to medical indication
BL_ZWEITIMPF_HS_BT,BL_ERSTIMPF_IND_PHBW,Corona initial vaccinations as indicated by nursing home residents,Anzahl Corona-Zweitimpfungen kumuliert des Herstellers BioNTech,Corona initial vaccinations accumulated according to the indication for care home residents
BL_ZWEITIMPF_HS_MN,BL_ERSTIMPF_VT,Corona ﬁrst vaccinations on the previous day,Anzahl Corona-Zweitimpfungen kumuliert des Herstellers Moderna,Difference between the corona initial vaccinations and the previous day
BL_ZWEITIMPF_HS_AZ,BL_ERSTIMPF_QUOTE,Corona vaccination rate for ﬁrst-time vaccinations,Anzahl Corona-Zweitimpfungen kumuliert des Herstellers AstraZeneca,"Proportion of corona vaccinated persons (ﬁrst vaccinations) in the total population (residents as of December 31,
2019)"
BL_ZWEITIMPF_HS_JJ,BL_ERSTIMPF_U60_QUOTE,Corona vaccination rate - under 60 year olds,Anzahl Corona-Impfungen kumuliert des Herstellers Johnson und Johnson (wird als Zweitimpfung betrachtet),"Proportion of people vaccinated with corona (ﬁrst vaccinations) under 60 years of age in the population of the corresponding age group (residents as of December 31,
2019)"
BL_ZWEITIMPF_IND_ALTER,BL_ERSTIMPF_AB60_QUOTE,Vaccination rate Corona ﬁrst vaccinations - over 60 year olds,Corona-Zweitimpfungen kumuliert nach Indikation Alter,"Proportion of corona vaccinated persons (ﬁrst vaccinations) 60 years or older in the population of the corresponding age group (residents as of December 31,
2019)"
BL_ZWEITIMPF_IND_BRFL,BL_ZWEITIMPF,Corona second vaccinations,Corona-Zweitimpfungen kumuliert nach beruflicher indikation,Cumulative number of corona second vaccinations
BL_ZWEITIMPF_IND_MDZN,BL_ZWEITIMPF_HS_BT,Corona second vaccinations BioNTech,Corona-Zweitimpfungen kumuliert nach medizinischer Indikation,Cumulative number of second corona vaccinations from the manufacturer BioNTech
BL_ZWEITIMPF_IND_PHBW,BL_ZWEITIMPF_HS_MN,Corona second vaccinations Moderna,Corona-Zweitimpfungen kumuliert nach Indikation Plegeheimbewohner,Cumulative number of corona second vaccinations from the manufacturer Moderna
BL_ZWEITIMPF_VT,BL_ZWEITIMPF_HS_AZ,Corona second vaccinations AstraZeneca,Differenz der Corona-Zweitimpfungen zum Vortag,Cumulative number of corona second vaccinations from the manufacturer AstraZeneca
BL_ZWEITIMPF_QUOTE,BL_ZWEITIMPF_HS_JJ,Corona vaccinations Johnson & Johnson,Anteil vollständig Corona-Geimpfte (Zweitimpfungen) an Gesamtbevölkerung (Einwohner Stand 31.12.2019),Cumulative number of corona vaccinations of the manufacturer Johnson and Johnson (considered as a second vaccination)
BL_ZWEITIMPF_U60_QUOTE,BL_ZWEITIMPF_IND_ALTER,Corona second vaccinations according to age indication,Anteil vollständig Corona-Geimpfte (Zweitimpfungen) unter 60 Jahre an Bevölkerung der entsprechenden Altersklasse (Einwohner Stand 31.12.2019),Corona second vaccinations accumulated according to age indication
BL_ZWEITIMPF_AB60_QUOTE,BL_ZWEITIMPF_IND_BRFL,Corona second vaccinations according to occupational indication,Anteil vollständig Corona-Geimpfte (Zweitimpfungen) 60 Jahre oder älter an Bevölkerung der entsprechenden Altersklasse (Einwohner Stand 31.12.2019),Corona second vaccinations accumulated according to
KR_INF_MD,,,Bestätigte Corona-Fälle nach Meldedatum,"occupational
indication"
KR_INF_RD,BL_ZWEITIMPF_IND_MDZN,Corona second vaccinations according to medical indication,Bestätigte Corona-Fälle nach Referenzdatum,Corona second vaccinations accumulated according to medical indication
KR_INF_A0004,BL_ZWEITIMPF_IND_PHBW,Corona second vaccinations as indicated by nursing home residents,Bestätigte Corona-Fälle mit Alter bis 4 Jahre (nach Meldedatum),Corona second vaccinations accumulated according to the indication for care home residents
KR_INF_A0514,BL_ZWEITIMPF_VT,Corona second vaccinations on the previous day,Bestätigte Corona-Fälle mit Alter 5 bis 14 Jahre (nach Meldedatum),Difference in the corona second vaccinations to the previous day
KR_INF_A1534,BL_ZWEITIMPF_QUOTE,Vaccination rate Corona second vaccinations,Bestätigte Corona-Fälle mit Alter 15 bis 34 Jahre (nach Meldedatum),"Proportion of fully corona vaccinated persons (second vaccinations) in the total population (residents as of December 31,
2019)"
KR_INF_A3559,BL_ZWEITIMPF_U60_QUOTE,Vaccination rate Corona second vaccinations - under 60 year olds,Bestätigte Corona-Fälle mit Alter 35 bis 59 Jahre (nach Meldedatum),"Proportion of fully corona vaccinated (second vaccinations) under 60 years of the population of the corresponding age group (residents as of December 31,
2019)"
KR_INF_A6079,BL_ZWEITIMPF_AB60_QUOTE,Vaccination rate Corona second vaccinations - over 60 year olds,Bestätigte Corona-Fälle mit Alter 60 bis 79 Jahre (nach Meldedatum),"Proportion of completely corona vaccinated (second vaccinations) 60 years or older in the population of the corresponding age group (residents as of December 31,
2019)"
KR_INF_A80,KR_INF_MD,Conﬁrmed corona cases by reporting date,Bestätigte Corona-Fälle mit Alter 80 Jahre oder älter (nach Meldedatum),Conﬁrmed corona cases by reporting date
KR_INF_A99,KR_INF_RD,Conﬁrmed corona cases by reference date,Bestätigte Corona-Fälle mit Alter unbekannt (nach Meldedatum),Conﬁrmed corona cases by reference date
KR_INF_M,KR_INF_A0004,Conﬁrmed corona cases - up to 4 years,Bestätigte männliche Corona-Fälle (nach Meldedatum),Conﬁrmed corona cases with age up to 4 years (according to reporting date)
KR_INF_W,KR_INF_A0514,Conﬁrmed Corona Cases - 5 to 14 Years,Bestätigte weibliche Corona-Fälle (nach Meldedatum),Conﬁrmed corona cases aged 5 to 14 years (according to reporting date)
KR_INF_U,KR_INF_A1534,Conﬁrmed Corona Cases - 15 to 34 years old,Bestätigte Corona-Fälle mit Geschlecht unbekannt (nach Meldedatum),Conﬁrmed corona cases aged 15 to 34 years (according to reporting date)
KR_INF_M_A0004,KR_INF_A3559,Conﬁrmed Corona Cases - 35 to 59 years old,Bestätigte männliche Corona-Fälle mit Alter bis 4 Jahre (nach Meldedatum),Conﬁrmed corona cases aged 35 to 59 years (according to reporting date)
KR_INF_M_A0514,KR_INF_A6079,Conﬁrmed Corona Cases - 60 to 79 Years,Bestätigte männliche Corona-Fälle mit Alter 5 bis 14 Jahre (nach Meldedatum),Conﬁrmed corona cases aged 60 to 79 years (according to reporting date)
KR_INF_M_A1534,KR_INF_A80,Conﬁrmed Corona Cases - 80 years of age or older,Bestätigte männliche Corona-Fälle mit Alter 15 bis 34 Jahre (nach Meldedatum),Conﬁrmed corona cases with the age of 80 years or older (according to reporting date)
KR_INF_M_A3559,KR_INF_A99,Conﬁrmed corona cases - age unknown,Bestätigte männliche Corona-Fälle mit Alter 35 bis 59 Jahre (nach Meldedatum),Conﬁrmed corona cases with age unknown (according to reporting date)
KR_INF_M_A6079,KR_INF_M,Conﬁrmed male corona cases,Bestätigte männliche Corona-Fälle mit Alter 60 bis 79 Jahre (nach Meldedatum),Conﬁrmed male corona cases (by reporting date)
KR_INF_M_A80,KR_INF_W,Conﬁrmed female corona cases,Bestätigte männliche Corona-Fälle mit Alter 80 Jahre oder älter (nach Meldedatum),Conﬁrmed female corona cases
KR_INF_M_A99,,,Bestätigte männliche Corona-Fälle mit Alter unbekannt (nach Meldedatum),"(according to
reporting date)"
KR_INF_W_A0004,KR_INF_U,Conﬁrmed corona cases with gender unknown,Bestätigte weibliche Corona-Fälle mit Alter bis 4 Jahre (nach Meldedatum),Conﬁrmed corona cases with gender unknown (according to reporting date)
KR_INF_W_A0514,KR_INF_M_A0004,Conﬁrmed male corona cases - up to 4 years,Bestätigte weibliche Corona-Fälle mit Alter 5 bis 14 Jahre (nach Meldedatum),Conﬁrmed male corona cases up to 4 years of age (according to reporting date)
KR_INF_W_A1534,KR_INF_M_A0514,Conﬁrmed Male Corona Cases - 5 to 14 Years Old,Bestätigte weibliche Corona-Fälle mit Alter 15 bis 34 Jahre (nach Meldedatum),Conﬁrmed male corona cases aged 5 to 14 years (according to reporting date)
KR_INF_W_A3559,KR_INF_M_A1534,Conﬁrmed Male Corona Cases - 15 to 34 Years Old,Bestätigte weibliche Corona-Fälle mit Alter 35 bis 59 Jahre (nach Meldedatum),Conﬁrmed male corona cases aged 15 to 34 years (according to reporting date)
KR_INF_W_A6079,KR_INF_M_A3559,Conﬁrmed Male Corona Cases - 35 to 59 Years Old,Bestätigte weibliche Corona-Fälle mit Alter 60 bis 79 Jahre (nach Meldedatum),Conﬁrmed male corona cases aged 35 to 59 years (according to reporting date)
KR_INF_W_A80,KR_INF_M_A6079,Conﬁrmed Male Corona Cases - 60 to 79 Years,Bestätigte weibliche Corona-Fälle mit Alter 80 Jahre oder älter (nach Meldedatum),Conﬁrmed male corona cases aged 60 to 79 years (according to reporting date)
KR_INF_W_A99,KR_INF_M_A80,Conﬁrmed Male Corona Cases - 80 Years or Older,Bestätigte weibliche Corona-Fälle mit Alter unbekannt (nach Meldedatum),Conﬁrmed male corona cases aged 80 years or older (according to reporting date)
KR_INF_MD_KUM,KR_INF_M_A99,Conﬁrmed male corona cases - unknown,Bestätigte Corona-Fälle kumuliert (nach Meldedatum),Conﬁrmed male corona cases with age unknown (according to reporting date)
KR_INF_AKTIV,KR_INF_W_A0004,Conﬁrmed female corona cases - up to 4 years,Bestätigte Corona-fälle kumuliert abzgl. Corona-Todesfälle kumuliert abzgl. Corona-Genesene kumiliert (nach Meldedatum),Conﬁrmed female corona cases up to 4 years of age (according to reporting date)
KR_INZ,KR_INF_W_A0514,Conﬁrmed Female Corona Cases - 5 to 14 Years Old,Bestätigte Corona-Fälle der letzten 7 Tage (nach Meldedatum),Conﬁrmed female corona cases aged 5 to 14 years (according to reporting date)
KR_INZ_RATE,KR_INF_W_A1534,Conﬁrmed Female Corona Cases - 15 to 34 Years Old,Bestätigte Corona-Fälle der letzten 7 Tage pro 100.000 Einwohner (nach Meldedatum),Conﬁrmed female corona cases aged 15 to 34 years (according to reporting date)
KR_BETR_RATE,KR_INF_W_A3559,Conﬁrmed Female Corona Cases - 35 to 59 Years Old,Anteil kumulierte Corona-Fälle an Einwohnern (nach Meldedtum),Conﬁrmed female corona cases aged 35 to 59 years (according to reporting date)
KR_NEUINF_RATE,KR_INF_W_A6079,Conﬁrmed female corona cases - 60 to 79 years old,Anteil Corona-Neuinfektionen an kumulierten Corona-Fällen (nach Meldedatum),Conﬁrmed female corona cases aged 60 to 79 years (according to reporting date)
KR_ITS_KH,KR_INF_W_A80,Conﬁrmed female corona cases - 80 years of age or older,Meldende Krankenhäuser mit intensivmedizinischer Versorgung (der letzten 7 Tage),Conﬁrmed female corona cases aged 80 years or older (according to reporting date)
KR_ITS_MELDEB,KR_INF_W_A99,Conﬁrmed female corona cases - age unknown,Meldende Standorte von Krankenhäuser mit intensivmedizinischet Versorgung (der letzten 7 Tage),Conﬁrmed female corona cases with age unknown (according to reporting date)
KR_ITS_BETT_B,KR_INF_MD_KUM,Conﬁrmed corona cases cumulative,Anzahl belegte Intensivbetten (der letzten 7 Tage),Conﬁrmed corona cases cumulative (according to reporting date)
KR_ITS_BETT_F,KR_INF_AKTIV,Active corona cases,Anzahl freie Intensivbetten (der letzten 7 Tage),Conﬁrmed corona cases accumulated less corona deaths accumulated minus corona recoveries accumulated
KR_ITS_BETT,,,Anzahl Intensivbetten insgesamt (der letzten 7 Tage),"(according to
reporting date)"
KR_ITS_BETT_EW,KR_INZ,7-day case number,Anzahl Intensivbetten pro 100.000 Einwohner (der letzten 7 Tage),Conﬁrmed corona cases of the last 7 days (according to reporting date)
KR_ITS_INF,KR_INZ_RATE,7 day incidence,Anzahl COVID-19-Patienten in intensivmedizinischer Behandlung (der letzten 7 Tage),"Conﬁrmed corona cases in the last 7 days per 100,000 inhabitants (according to reporting date)"
KR_ITS_INF_B,KR_BETR_RATE,Affected Rate,Anzahl COVID-19-Patienten invasis beatmet (der letzten 7 Tage),Share of cumulative corona cases in residents (according to Meldedtum)
KR_ITS_INF_B_ANT,KR_NEUINF_RATE,New infection rate,Anteil COVID-19-Patienten in Beatmung an allen aktuell intensivmedizinisch behandelten COVID-19-Patienten (der letzten 7 Tage),Percentage of new corona infections in cumulative corona cases (according to reporting date)
KR_TOD_MD,KR_ITS_KH,Hospitals with ITS capacities,Corona-Todesfälle (nach Meldedatum),Reporting hospitals with intensive medical care (of the last 7 days)
KR_TOD_A0004,KR_ITS_MELDEB,Reporting areas with ITS capacities,Corona-Todesfälle mit Alter bis 4 Jahre (nach Meldedatum),Reporting locations of hospitals with intensive medical care (of the last 7 days)
KR_TOD_A0514,KR_ITS_BETT_B,Occupied ITS beds,Corona-Todesfälle mit Alter 5 bis 14 Jahre (nach Meldedatum),Number of occupied intensive care beds (of the last 7 days)
KR_TOD_A1534,KR_ITS_BETT_F,Free ITS beds,Corona-Todesfälle mit Alter 15 bis 34 Jahre (nach Meldedatum),Number of free intensive care beds (of the last 7 days)
KR_TOD_A3559,KR_ITS_BETT,ITS beds,Corona-Todesfälle mit Alter 35 bis 59 Jahre (nach Meldedatum),Total number of intensive care beds (of the last 7 days)
KR_TOD_A6079,KR_ITS_BETT_EW,"ITS beds per 100,000
inhabitants",Corona-Todesfälle mit Alter 60 bis 79 Jahre (nach Meldedatum),"Number of intensive care beds per 100,000 inhabitants (of the last 7 days)"
KR_TOD_A80,KR_ITS_INF,"COVID-19
patients on ITS",Corona-Todesfälle mit Alter 80 Jahre oder älter (nach Meldedatum),"Number of
COVID-19 patients in intensive care treatment (in the last 7 days)"
KR_TOD_A99,KR_ITS_INF_B,"Number of COVID-19
patients on
ventilation",Corona-Todesfälle mit Alter unbekannt (nach Meldedatum),"Number of
COVID-19 patients ventilated invasis (in the last 7 days)"
KR_TOD_M,KR_ITS_INF_B_ANT,"Proportion of COVID-19
patients in ventilation",Männliche Corona-Todesfälle (nach Meldedatum),Proportion of COVID-19 patients in ventilation of all COVID-19 patients currently treated in intensive care (in the last 7 days)
KR_TOD_W,KR_TOD_MD,Corona deaths,Weibliche Corona-Todesfälle (nach Meldedatum),Corona deaths (by reporting date)
KR_TOD_U,KR_TOD_A0004,Corona deaths - up to 4 years,Corona-Todesfälle mit Geschlecht unbekannt (nach Meldedatum),Corona deaths up to 4 years of age (according to reporting date)
KR_TOD_MD_KUM,KR_TOD_A0514,Corona deaths - 5 to 14 years old,Corona-Todesfälle kumuliert (nach Meldedatum),Corona deaths aged 5 to 14 years (according to reporting date)
KR_TOD_RATE,KR_TOD_A1534,Corona deaths - 15 to 34 years old,Anteil Corona-Todesfälle kumuliert an bestätigten Corona-Fällen kumuliert (nach Meldedatum),Corona deaths aged 15 to 34 years (according to reporting date)
KR_INZ_RATE,KR_TOD_A3559,Corona deaths - 35 to 59 years old,Bestätigte Corona-Fälle der letzten 7 Tage pro 100.000 Einwohner (nach Meldedatum),Corona deaths aged 35 to 59 years (according to reporting date)
KR_TREND,KR_TOD_A6079,Corona deaths - 60 to 79 years old,Steigung einer linearen Regression der 7-Tage-Inzidenzen der vergangenen 7 Tage (in Grad normiert),Corona deaths aged 60 to 79 years (according to reporting date)
KR_TREND_KL,KR_TOD_A80,Corona deaths -,Steigung einer linearen Regression der 7-Tage-Inzidenzen der vergangenen 7 Tage (in Klassen),Corona deaths aged
KR_VERF_ALLTECH_2MBIT_1,,80 years of age or older,"Anzahl Adressen, bei denen 10 % der Haushalte eine private Breitbandverfügbarkeit von >= 2 Mbit/s haben (bezogen auf alle Techniken)","80 or older (according to
reporting date)"
KR_VERF_ALLTECH_2MBIT_2,KR_TOD_A99,Corona deaths - age unknown,"Anzahl Adressen, bei denen 11 %-50% der Haushalte eine private Breitbandverfügbarkeit von >= 2 Mbit/s haben (bezogen auf alle Techniken)",Corona deaths with age unknown (according to reporting date)
KR_VERF_ALLTECH_2MBIT_3,KR_TOD_M,Male corona deaths,"Anzahl Adressen, bei denen 51 %-75 der Haushalte eine private Breitbandverfügbarkeit von >= 2 Mbit/s haben (bezogen auf alle Techniken)",Male corona deaths (by reporting date)
KR_VERF_ALLTECH_2MBIT_4,KR_TOD_W,Female corona deaths,"Anzahl Adressen, bei denen 76 % - 95% der Haushalte eine private Breitbandverfügbarkeit von >= 2 Mbit/s haben (bezogen auf alle Techniken)",Female corona deaths (by reporting date)
KR_VERF_ALLTECH_2MBIT_5,KR_TOD_U,Corona deaths with gender unknown,"Anzahl Adressen, bei denen 96 %-100% der Haushalte eine private Breitbandverfügbarkeit von >= 2 Mbit/s haben (bezogen auf alle Techniken)",Corona deaths with gender unknown (according to reporting date)
KR_VERF_ALLTECH_2MBIT_99,KR_TOD_MD_KUM,Cumulative corona deaths,"Anzahl Adressen, bei denen keine Angabe zur Abdeckung der Haushalte verfügbar ist (bezogen auf alle Techniken)",Cumulative corona deaths (according to reporting date)
KR_VERF_ALLTECH_6MBIT_1,KR_TOD_RATE,Death rate,"Anzahl Adressen, bei denen 10 % der Haushalte eine private Breitbandverfügbarkeit von >= 6 Mbit/s haben (bezogen auf alle Techniken)",Percentage of corona deaths accumulated in conﬁrmed corona cases accumulated (according to reporting date)
KR_VERF_ALLTECH_6MBIT_2,KR_INZ_RATE,7 day incidence,"Anzahl Adressen, bei denen 11 %-50% der Haushalte eine private Breitbandverfügbarkeit von >= 6 Mbit/s haben (bezogen auf alle Techniken)","Conﬁrmed corona cases in the last 7 days per 100,000 inhabitants (according to reporting date)"
KR_VERF_ALLTECH_6MBIT_3,KR_TREND,Trend of the incidence curves,"Anzahl Adressen, bei denen 51 %-75 der Haushalte eine private Breitbandverfügbarkeit von >= 6 Mbit/s haben (bezogen auf alle Techniken)",Slope of a linear regression of the 7- day incidences of the past 7 days (normalized in degrees)
KR_VERF_ALLTECH_6MBIT_4,KR_TREND_KL,Trend of the incidence curves classiﬁed,"Anzahl Adressen, bei denen 76 % - 95% der Haushalte eine private Breitbandverfügbarkeit von >= 6 Mbit/s haben (bezogen auf alle Techniken)",Slope of a linear regression of the 7- day incidences of the past 7 days (in classes)
KR_VERF_ALLTECH_6MBIT_5,KR_VERF_ALLTECH_2MBIT_1,"Private broadband availability 2 Mbit
/ s - 10% of households","Anzahl Adressen, bei denen 96 %-100% der Haushalte eine private Breitbandverfügbarkeit von >= 6 Mbit/s haben (bezogen auf alle Techniken)",Number of addresses at which 10% of households have private broadband availability of> = 2 Mbit / s (based on all technologies)
KR_VERF_ALLTECH_6MBIT_99,KR_VERF_ALLTECH_2MBIT_2,"Private broadband availability 2 Mbit
/ s - 11 - 50% of households","Anzahl Adressen, bei denen keine Angabe zur Abdeckung der Haushalte verfügbar ist (bezogen auf alle Techniken)","Number of addresses where 11% -50% of
households have private broadband availability of> = 2 Mbit / s (based on
all technologies)"
KR_VERF_ALLTECH_16MBIT_1,KR_VERF_ALLTECH_2MBIT_3,"Private broadband availability 2 Mbit
/ s - 51-75% of households","Anzahl Adressen, bei denen 10 % der Haushalte eine private Breitbandverfügbarkeit von >= 16 Mbit/s haben (bezogen auf alle Techniken)","Number of addresses at which 51% -75 of
households have private broadband availability of> = 2 Mbit / s (based on
all technologies)"
KR_VERF_ALLTECH_16MBIT_2,KR_VERF_ALLTECH_2MBIT_4,Private broadband availability 2 Mbit,"Anzahl Adressen, bei denen 11 %-50% der Haushalte eine private Breitbandverfügbarkeit von >= 16 Mbit/s haben (bezogen auf alle Techniken)",Number of addresses at which 76% - 95% of
KR_VERF_ALLTECH_16MBIT_3,,/ s - 76-95% of households,"Anzahl Adressen, bei denen 51 %-75 der Haushalte eine private Breitbandverfügbarkeit von >= 16 Mbit/s haben (bezogen auf alle Techniken)","households have private broadband availability of> = 2 Mbit / s (based on
all technologies)"
KR_VERF_ALLTECH_16MBIT_4,KR_VERF_ALLTECH_2MBIT_5,"Private broadband availability 2 Mbit
/ s - 96-100% of households","Anzahl Adressen, bei denen 76 % - 95% der Haushalte eine private Breitbandverfügbarkeit von >= 16 Mbit/s haben (bezogen auf alle Techniken)","Number of addresses where 96% -100% of
households have private broadband availability of> = 2 Mbit / s (based on
all technologies)"
KR_VERF_ALLTECH_16MBIT_5,KR_VERF_ALLTECH_2MBIT_99,"Private broadband availability 2 Mbit
/ s - no information","Anzahl Adressen, bei denen 96 %-100% der Haushalte eine private Breitbandverfügbarkeit von >= 16 Mbit/s haben (bezogen auf alle Techniken)",Number of addresses for which no information on household coverage is available (based on all technologies)
KR_VERF_ALLTECH_16MBIT_99,KR_VERF_ALLTECH_6MBIT_1,"Private broadband availability 6 Mbit
/ s - 10% of households","Anzahl Adressen, bei denen keine Angabe zur Abdeckung der Haushalte verfügbar ist (bezogen auf alle Techniken)",Number of addresses at which 10% of households have private broadband availability of> = 6 Mbit / s (based on all technologies)
KR_VERF_ALLTECH_30MBIT_1,KR_VERF_ALLTECH_6MBIT_2,"Private broadband availability 6 Mbit
/ s - 11 - 50% of households","Anzahl Adressen, bei denen 10 % der Haushalte eine private Breitbandverfügbarkeit von >= 30 Mbit/s haben (bezogen auf alle Techniken)","Number of addresses where 11% -50% of
households have private broadband availability of> = 6 Mbit / s (based on
all technologies)"
KR_VERF_ALLTECH_30MBIT_2,KR_VERF_ALLTECH_6MBIT_3,"Private broadband availability 6 Mbit
/ s - 51-75% of households","Anzahl Adressen, bei denen 11 %-50% der Haushalte eine private Breitbandverfügbarkeit von >= 30 Mbit/s haben (bezogen auf alle Techniken)","Number of addresses where 51% -75 of
households have private broadband availability of> = 6 Mbit / s (based on
all technologies)"
KR_VERF_ALLTECH_30MBIT_3,KR_VERF_ALLTECH_6MBIT_4,"Private broadband availability 6 Mbit
/ s - 76-95% of households","Anzahl Adressen, bei denen 51 %-75 der Haushalte eine private Breitbandverfügbarkeit von >= 30 Mbit/s haben (bezogen auf alle Techniken)","Number of addresses at which 76% - 95% of
households have private broadband availability of> = 6 Mbit / s (based on
all technologies)"
KR_VERF_ALLTECH_30MBIT_4,KR_VERF_ALLTECH_6MBIT_5,"Private broadband availability 6 Mbit
/ s - 96-100% of households","Anzahl Adressen, bei denen 76 % - 95% der Haushalte eine private Breitbandverfügbarkeit von >= 30 Mbit/s haben (bezogen auf alle Techniken)","Number of addresses where 96% -100% of
households have private broadband availability of> = 6 Mbit / s (based on
all technologies)"
KR_VERF_ALLTECH_30MBIT_5,KR_VERF_ALLTECH_6MBIT_99,"Private broadband availability 6 Mbit
/ s - no information","Anzahl Adressen, bei denen 96 %-100% der Haushalte eine private Breitbandverfügbarkeit von >= 30 Mbit/s haben (bezogen auf alle Techniken)",Number of addresses for which no information on household coverage is available (based on all technologies)
KR_VERF_ALLTECH_30MBIT_99,KR_VERF_ALLTECH_16MBIT_1,Private broadband availability 16 Mbit / s - 10% of households,"Anzahl Adressen, bei denen keine Angabe zur Abdeckung der Haushalte verfügbar ist (bezogen auf alle Techniken)",Number of addresses at which 10% of households have private broadband availability of> = 16 Mbit / s (based on all technologies)
KR_VERF_ALLTECH_50MBIT_1,KR_VERF_ALLTECH_16MBIT_2,Private broadband availability 16 Mbit / s - 11 - 50% of households,"Anzahl Adressen, bei denen 10 % der Haushalte eine private Breitbandverfügbarkeit von >= 50 Mbit/s haben (bezogen auf alle Techniken)","Number of addresses where 11% -50% of
households have private broadband availability of> = 16 Mbit / s (based
on all technologies)"
KR_VERF_ALLTECH_50MBIT_2,KR_VERF_ALLTECH_16MBIT_3,Private broadband availability 16 Mbit / s - 51-75% of households,"Anzahl Adressen, bei denen 11 %-50% der Haushalte eine private Breitbandverfügbarkeit von >= 50 Mbit/s haben (bezogen auf alle Techniken)","Number of addresses at which 51% -75 of
households have"
KR_VERF_ALLTECH_50MBIT_3,,,"Anzahl Adressen, bei denen 51 %-75 der Haushalte eine private Breitbandverfügbarkeit von >= 50 Mbit/s haben (bezogen auf alle Techniken)","private broadband availability of> = 16 Mbit / s (based
on all technologies)"
